Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
qKzosKQPl6G,m1U1MJZoK9Q,Kiambu County,HCD - Combined Oral contraceptive Pills,7135,33906,5407,6513,3494,853,3656,37284,949,2566,9618,8760,2.22,6.82,0,61400,61400
nrI2khZx3d0,m1U1MJZoK9Q,Kilifi County,HCD - Combined Oral contraceptive Pills,3645,18475,2970,2900,1604,754,1697,18093,786,1057,4819,4695,2.12,5.76,0,31583,31583
Ulj33KBau7V,m1U1MJZoK9Q,Kirinyaga County,HCD - Combined Oral contraceptive Pills,6455,2945,5183,6631,3787,1239,2097,28195,936,24750,5989,5964,2.27,6.91,0,44700,44700
sPkRcDvhGWA,m1U1MJZoK9Q,Kisii County,HCD - Combined Oral contraceptive Pills,1250,540,696,4457,329,115,301,165,126,157,1328,1240,2.93,9.26,0,3889,3889
tAbBVBbueqD,m1U1MJZoK9Q,Kisumu County,HCD - Combined Oral contraceptive Pills,3037,673,1768,2264,1374,473,1646,663,12312,575,2883,2769,3.04,6.79,0,10664,10664
j8o6iO4Njsi,m1U1MJZoK9Q,Kitui County,HCD - Combined Oral contraceptive Pills,1818,705,12243,2409,1328,484,1132,10043,47899,470,2836,2699,3.04,25.84,0,65558,65558
N7YETT3A9r1,m1U1MJZoK9Q,Kwale County,HCD - Combined Oral contraceptive Pills,1724,842,1141,19485,743,395,879,1993,288,464,1510,1499,3.16,23.83,0,18442,18442
xuFdFy6t9AH,m1U1MJZoK9Q,Laikipia County,HCD - Combined Oral contraceptive Pills,1979,1006,1794,19156,1029,352,757,1007,35122,561,2709,2812,2.77,30.22,0,51477,51477
NjWSbQTwys4,m1U1MJZoK9Q,Lamu County,HCD - Combined Oral contraceptive Pills,717,616,6344,832,349,38,241,65,29,143,562,518,3.14,13.89,0,5970,5970
BoDytkJQ4Qi,m1U1MJZoK9Q,Makueni County,HCD - Combined Oral contraceptive Pills,2079,1127,2141,3092,1272,146,690,25852,126,412,3483,3752,3.12,12.17,0,24187,24187
R6f9znhg37c,m1U1MJZoK9Q,Mandera County,HCD - Combined Oral contraceptive Pills,557,2776,551,416,380,40,1221,50,29,58,488,438,2.86,6.35,0,2392,2392
Eey8fT4Im3y,m1U1MJZoK9Q,Marsabit County,HCD - Combined Oral contraceptive Pills,869,242,666,6745,385,112,299,178,128,282,610,531,3.15,21.43,0,6354,6354
Y52XNJ50hYb,m1U1MJZoK9Q,Meru County,HCD - Combined Oral contraceptive Pills,2218,736,13489,1594,687,189,554,297,54040,473,2236,2722,3.09,38.68,0,65188,65188
fVra3Pwta0Q,m1U1MJZoK9Q,Migori County,HCD - Combined Oral contraceptive Pills,2867,18938,1286,2045,866,268,718,356,13255,430,2059,1892,2.55,11.53,0,29636,29636
wsBsC6gjHvn,m1U1MJZoK9Q,Mombasa County,HCD - Combined Oral contraceptive Pills,2362,4631,1598,2134,1298,727,1202,15903,648,4411,3312,3317,3,8.64,0,13572,13572
ahwTMNAJvrL,m1U1MJZoK9Q,Muranga County,HCD - Combined Oral contraceptive Pills,5575,2892,4619,5915,3128,787,2370,19531,768,1342,6437,6024,2.89,5.04,0,15908,15908
jkG3zaihdSs,m1U1MJZoK9Q,Nairobi County,HCD - Combined Oral contraceptive Pills,16006,7011,176950,17194,11086,3627,9624,4975,3734,5284,17388,16709,3.16,18.72,0,166710,166710
ob6SxuRcqU4,m1U1MJZoK9Q,Nakuru County,HCD - Combined Oral contraceptive Pills,8554,43955,6547,9019,4626,1104,2964,64504,1298,1674,7943,7716,2.58,11.6,0,98170,98170
t0J75eHKxz5,m1U1MJZoK9Q,Nandi County,HCD - Combined Oral contraceptive Pills,1399,476,937,20429,725,119,647,329,265,7463,1950,1821,2.99,23.31,0,26158,26158
uepLTG8wGWJ,m1U1MJZoK9Q,Nyamira County,HCD - Combined Oral contraceptive Pills,1780,10343,971,18005,551,19680,511,205,178,460,2270,2333,2.09,13.18,0,44942,44942
mYZacFNIB3h,m1U1MJZoK9Q,Nyandarua County,HCD - Combined Oral contraceptive Pills,4763,1062,2122,2559,1198,143,1102,24633,128,516,2238,2396,3.12,18.95,0,22976,22976
ptWVfaCIdVx,m1U1MJZoK9Q,Nyeri County,HCD - Combined Oral contraceptive Pills,5615,21428,4769,5577,3277,1108,2220,1541,30780,1380,4548,4703,2.57,9.4,0,45260,45260
o36zCRjSd4G,m1U1MJZoK9Q,Samburu County,HCD - Combined Oral contraceptive Pills,414,231,414,505,297,43,266,82,3828,41,266,269,3.14,16.39,0,3571,3571
QyGNX2DpR4h,m1U1MJZoK9Q,Taita Taveta County,HCD - Combined Oral contraceptive Pills,997,1137,1400,1170,620,103,304,230,9088,5706,1012,1060,2.66,13.93,0,13187,13187
JsH2bnvNt2d,m1U1MJZoK9Q,Tana River County,HCD - Combined Oral contraceptive Pills,422,166,3503,541,260,102,272,5975,160,197,563,549,2.72,19.93,0,8832,8832
T4urHM47nlm,m1U1MJZoK9Q,Tharaka Nithi County,HCD - Combined Oral contraceptive Pills,20037,473,974,1286,734,159,463,264,190,293,1982,1882,3.16,33.44,0,19246,19246
pZqQRRW7PHP,m1U1MJZoK9Q,Uasin Gishu County,HCD - Combined Oral contraceptive Pills,3693,1180,2386,2999,1305,702,1248,771,38753,764,4240,4203,3.15,22.38,0,36617,36617
CeLsrJOH0g9,m1U1MJZoK9Q,Wajir County,HCD - Combined Oral contraceptive Pills,9881,263,477,771,140,18,124,1602,22,105,673,734,3.13,19.71,0,9433,9433
vvOK1BxTbet,nGR47qCgOfQ,Baringo County,HCD - Emergency Contraceptive pills,45,40,45,39,23,0,3,0,0,0,122,122,1.53,4.66,170,179,349
HMNARUV2CW4,nGR47qCgOfQ,Bomet County,HCD - Emergency Contraceptive pills,7,6,2,8,5,0,0,0,0,0,1,1,1.27,0.9,25,0,25
KGHhQ5GLd4k,nGR47qCgOfQ,Bungoma County,HCD - Emergency Contraceptive pills,86,28,50,72,26,6,23,6,3,10,27,31,2.1,2.17,0,60,60
Tvf1zgVZ0K4,nGR47qCgOfQ,Busia County,HCD - Emergency Contraceptive pills,1,0,0,1,0,0,0,0,0,0,60,84,1.13,1.22,244,0,244
MqnLxQBigG0,nGR47qCgOfQ,Elgeyo Marakwet County,HCD - Emergency Contraceptive pills,57,37,85,68,64,34,72,36,65,84,255,248,2.13,7.06,0,383,383
uyOrcHZBpW0,nGR47qCgOfQ,Garissa County,HCD - Emergency Contraceptive pills,7,10,12,16,11,0,6,3,0,2,4,4,1.86,1.83,13,0,13
nK0A12Q7MvS,nGR47qCgOfQ,Homa Bay County,HCD - Emergency Contraceptive pills,1366,9,15,91,12,8,9,8,5,6,81,270,3.11,203.17,0,1772,1772
bzOfj0iwfDH,nGR47qCgOfQ,Isiolo County,HCD - Emergency Contraceptive pills,4,0,4,5,1,0,1,1,0,0,4,3,1.29,1.69,14,0,14
BjC1xL40gHo,nGR47qCgOfQ,Kakamega County,HCD - Emergency Contraceptive pills,127,55,77,82,211,196,200,188,184,180,168,208,1.81,3.89,0,111,111
ihZsJ8alvtb,nGR47qCgOfQ,Kericho County,HCD - Emergency Contraceptive pills,12,4,10,8,17,0,0,0,0,0,136,97,1.79,16.73,60,213,273
nrI2khZx3d0,nGR47qCgOfQ,Kilifi County,HCD - Emergency Contraceptive pills,78,37,47,47,65,51,61,54,52,54,84,169,2.94,11.08,0,112,112
sPkRcDvhGWA,nGR47qCgOfQ,Kisii County,HCD - Emergency Contraceptive pills,67,25,33,29,10,5,9,7,5,9,130,164,2.32,8.23,0,254,254
tAbBVBbueqD,nGR47qCgOfQ,Kisumu County,HCD - Emergency Contraceptive pills,55,6,35,37,33,1,25,9,8,10,14,15,2.11,2.88,0,37,37
j8o6iO4Njsi,nGR47qCgOfQ,Kitui County,HCD - Emergency Contraceptive pills,60,12,51,70,67,6,15,12,7,10,254,258,2.08,5.73,0,450,450
N7YETT3A9r1,nGR47qCgOfQ,Kwale County,HCD - Emergency Contraceptive pills,19,19,6,4,0,0,0,0,0,0,0,97,1.76,4.05,133,85,218
xuFdFy6t9AH,nGR47qCgOfQ,Laikipia County,HCD - Emergency Contraceptive pills,6,4,9,14,9,4,6,4,0,2,10,11,1.85,1.8,6,0,6
NjWSbQTwys4,nGR47qCgOfQ,Lamu County,HCD - Emergency Contraceptive pills,2,1,5,4,4,0,0,0,0,0,0,0,1.34,2.02,28,0,28
BoDytkJQ4Qi,nGR47qCgOfQ,Makueni County,HCD - Emergency Contraceptive pills,74,41,46,68,5,0,5,0,0,0,43,28,1.38,1.25,168,0,168
R6f9znhg37c,nGR47qCgOfQ,Mandera County,HCD - Emergency Contraceptive pills,11,3,3,8,3,0,0,0,0,0,3,3,1.87,0,15,0,15
Eey8fT4Im3y,nGR47qCgOfQ,Marsabit County,HCD - Emergency Contraceptive pills,248,6,15,13,5,2,3,3,0,1,20,20,3,32.65,6,239,245
ahwTMNAJvrL,nGR47qCgOfQ,Muranga County,HCD - Emergency Contraceptive pills,33,19,31,34,17,2,9,11,10,10,56,66,2.07,2.94,0,45,45
ob6SxuRcqU4,nGR47qCgOfQ,Nakuru County,HCD - Emergency Contraceptive pills,360,125,172,391,57,18,301,297,295,322,963,1126,2.23,5.09,0,1621,1621
t0J75eHKxz5,nGR47qCgOfQ,Nandi County,HCD - Emergency Contraceptive pills,61,17,63,80,390,2,51,5,3,9,44,39,3.07,8.25,0,356,356
uepLTG8wGWJ,nGR47qCgOfQ,Nyamira County,HCD - Emergency Contraceptive pills,30,8,14,120,5,1,4,1,1,6,79,77,2.26,12.7,0,253,253
o36zCRjSd4G,nGR47qCgOfQ,Samburu County,HCD - Emergency Contraceptive pills,54,39,69,76,28,0,6,14,12,12,29,28,1.79,2.02,28,0,28
QyGNX2DpR4h,nGR47qCgOfQ,Taita Taveta County,HCD - Emergency Contraceptive pills,19,4,13,12,8,0,11,1,0,1,26,30,1.76,1.66,23,0,23
JsH2bnvNt2d,nGR47qCgOfQ,Tana River County,HCD - Emergency Contraceptive pills,9,4,11,46,3,0,1,0,0,0,48,37,1.39,3.2,40,0,40
mThvosEflAU,nGR47qCgOfQ,Trans Nzoia County,HCD - Emergency Contraceptive pills,26,15,28,23,10,0,8,0,0,0,38,42,1.47,1.03,98,0,98
kphDeKClFch,nGR47qCgOfQ,Turkana County,HCD - Emergency Contraceptive pills,202,32,115,111,15,4,5,4,2,2,114,147,1.97,5.6,0,268,268
sANMZ3lpqGs,nGR47qCgOfQ,Vihiga County,HCD - Emergency Contraceptive pills,7,10,12,13,0,0,1,2,116,116,170,171,1.51,9.72,25,543,568
CeLsrJOH0g9,nGR47qCgOfQ,Wajir County,HCD - Emergency Contraceptive pills,0,0,2,4,5,5,4,3,2,1,1,0,1.26,1.35,9,0,9
XWALbfAPa6n,nGR47qCgOfQ,West Pokot County,HCD - Emergency Contraceptive pills,0,0,0,1,0,0,0,0,0,0,830,832,1.15,279.58,7470,830,8300
vvOK1BxTbet,RXJmB0afFhv,Baringo County,HCD - Female Condoms,26,7,4,4,0,0,5,0,24,24,135,207,2.19,6.5,72,315,387
HMNARUV2CW4,RXJmB0afFhv,Bomet County,HCD - Female Condoms,250,0,258,413,14,0,10,0,0,0,21,24,1.66,18.74,120,869,989
KGHhQ5GLd4k,RXJmB0afFhv,Bungoma County,HCD - Female Condoms,749,23336,536,1008,385,202,288,269,182,91,958,803,3.17,54.43,0,22839,22839
Tvf1zgVZ0K4,RXJmB0afFhv,Busia County,HCD - Female Condoms,73,13,81,5108,52,40,57,58,55,110,141,106,3.17,165.91,0,5037,5037
MqnLxQBigG0,RXJmB0afFhv,Elgeyo Marakwet County,HCD - Female Condoms,109,75,8,4238,37,0,37,2,195,198,211,112,3.01,32.38,109,4140,4249
PFu8alU2KWG,RXJmB0afFhv,Embu County,HCD - Female Condoms,235,26,44025,47,22,17,29,34,43,51,138,94,3.18,1412.6,0,44160,44160
uyOrcHZBpW0,RXJmB0afFhv,Garissa County,HCD - Female Condoms,8,0,8,3,3,0,0,0,0,0,5,5,1.18,1.01,30,0,30
nK0A12Q7MvS,RXJmB0afFhv,Homa Bay County,HCD - Female Condoms,2485,705,6861,470,104,33,86,378,354,381,679,822,2.99,14.45,0,8544,8544
bzOfj0iwfDH,RXJmB0afFhv,Isiolo County,HCD - Female Condoms,76,43,31,28,0,0,0,0,0,1,176,177,1.4,2.74,215,0,215
Hsk1YV8kHkT,RXJmB0afFhv,Kajiado County,HCD - Female Condoms,144,21,120,119,92,2,88,4,3,28,295,260,2.01,2.11,0,215,215
BjC1xL40gHo,RXJmB0afFhv,Kakamega County,HCD - Female Condoms,2200,84,359,514,380,195,396,259,239,157,777,269,3.01,12.66,0,1870,1870
ihZsJ8alvtb,RXJmB0afFhv,Kericho County,HCD - Female Condoms,359,185,175,106,189,96,208,96,96,109,81,59,2.56,4.52,0,232,232
qKzosKQPl6G,RXJmB0afFhv,Kiambu County,HCD - Female Condoms,405,5263,472,588,83,38,57,43,12,45,307,607,3.14,20.11,0,5021,5021
sPkRcDvhGWA,RXJmB0afFhv,Kisii County,HCD - Female Condoms,491,457,452,888,569,199,603,59,47,808,2753,2764,2.06,4.95,0,4602,4602
tAbBVBbueqD,RXJmB0afFhv,Kisumu County,HCD - Female Condoms,847,370,607,69733,244,62,299,104,89,148,849,639,3.18,180.73,0,69346,69346
j8o6iO4Njsi,RXJmB0afFhv,Kitui County,HCD - Female Condoms,114,7,6025,48338,124,5,175,169,2,188,215,193,3.15,612.98,0,54125,54125
N7YETT3A9r1,RXJmB0afFhv,Kwale County,HCD - Female Condoms,381,325,278,32203,2,2,2,0,0,2,97,221,2.85,137.67,318,32057,32375
xuFdFy6t9AH,RXJmB0afFhv,Laikipia County,HCD - Female Condoms,67,39,14,30,21,12,22,2,0,0,382,420,2,19.69,52,750,802
NjWSbQTwys4,RXJmB0afFhv,Lamu County,HCD - Female Condoms,8,0,0,14,1,0,1,0,0,0,0,0,1.28,1.83,36,0,36
yhCUgGcCcOo,RXJmB0afFhv,Machakos County,HCD - Female Condoms,93,21,63,8228,167,140,141,129,5,22,110,94,3.17,140.54,0,8138,8138
R6f9znhg37c,RXJmB0afFhv,Mandera County,HCD - Female Condoms,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,55000,0,55000
Eey8fT4Im3y,RXJmB0afFhv,Marsabit County,HCD - Female Condoms,77,45,26,16,12,12,12,2,0,0,73,73,1.43,2.7,42,0,42
Y52XNJ50hYb,RXJmB0afFhv,Meru County,HCD - Female Condoms,257,83,231,508,182,35,189,50,41,68,380,270,2.14,1.98,0,346,346
wsBsC6gjHvn,RXJmB0afFhv,Mombasa County,HCD - Female Condoms,258,1022,176,8151,65,42,83,92,107,93,266,219,3.15,70.16,0,8893,8893
ahwTMNAJvrL,RXJmB0afFhv,Muranga County,HCD - Female Condoms,373,15,46,3075,49,45,16,8,4,5,17,14,3.15,171.91,0,3404,3404
jkG3zaihdSs,RXJmB0afFhv,Nairobi County,HCD - Female Condoms,29995,34752,27845,16637,1661,603,884,1898,1749,2659,6553,6409,1.85,6.25,0,79574,79574
ob6SxuRcqU4,RXJmB0afFhv,Nakuru County,HCD - Female Condoms,2652,21796,1347,76609,308,23,207,29,199,62,3018,2530,3.05,63.77,0,96330,96330
t0J75eHKxz5,RXJmB0afFhv,Nandi County,HCD - Female Condoms,417,341,44,310,99,3,7,7,2,2,14,16,2.01,20.86,0,1120,1120
kqJ83J2D72s,RXJmB0afFhv,Narok County,HCD - Female Condoms,267,273,213,1201,180,2,7,0,0,1,414,420,2.55,3.66,480,1004,1484
uepLTG8wGWJ,RXJmB0afFhv,Nyamira County,HCD - Female Condoms,1392,10019,1375,33312,1027,112,56,15,7,24,191,465,3.04,70.18,0,42398,42398
mYZacFNIB3h,RXJmB0afFhv,Nyandarua County,HCD - Female Condoms,2072,55,136,116,14,29,62,27,2,25,106,153,3.16,29.52,0,2006,2006
ptWVfaCIdVx,RXJmB0afFhv,Nyeri County,HCD - Female Condoms,356,167,444,10442,276,25,77,145,96,116,202,149,3.17,97.01,0,10255,10255
o36zCRjSd4G,RXJmB0afFhv,Samburu County,HCD - Female Condoms,9,4,9,8,2,0,1,0,2,2,5,2,1.45,2.7,6,0,6
QyGNX2DpR4h,RXJmB0afFhv,Taita Taveta County,HCD - Female Condoms,54,41,41,32034,5,2,5,5,12,17,175,204,3.18,899.47,0,32352,32352
JsH2bnvNt2d,RXJmB0afFhv,Tana River County,HCD - Female Condoms,45,17,17,45,7133,0,7133,0,0,0,0,14,1.46,170.74,225,14211,14436
T4urHM47nlm,RXJmB0afFhv,Tharaka Nithi County,HCD - Female Condoms,13102,1069,84,32213,175,7,10,7,7,7,527,233,2.93,176.66,0,46032,46032
mThvosEflAU,RXJmB0afFhv,Trans Nzoia County,HCD - Female Condoms,974,33,1896,232,50,11,45,17,16,27,344,328,2.77,36.67,0,3632,3632
pZqQRRW7PHP,RXJmB0afFhv,Uasin Gishu County,HCD - Female Condoms,426,276,279,9218,8,8,18,1,0,1,434,491,3.01,23.38,276,9024,9300
sANMZ3lpqGs,RXJmB0afFhv,Vihiga County,HCD - Female Condoms,183,2,183,19,0,0,3,0,0,20,39,39,1.59,5.6,118,325,443
CeLsrJOH0g9,RXJmB0afFhv,Wajir County,HCD - Female Condoms,5041,8,8,33,0,0,0,0,0,0,0,0,1.5,270.91,164,5025,5189
XWALbfAPa6n,RXJmB0afFhv,West Pokot County,HCD - Female Condoms,57,0,0,4,75,5,77,7,8,8,90,93,1.29,1.46,65,0,65
vvOK1BxTbet,ri9reJBhA2Y,Baringo County,HCD - IUCDs,560,52,531,111,678,0,176,0,0,18,98,46,1.64,5.88,333,1519,1852
HMNARUV2CW4,ri9reJBhA2Y,Bomet County,HCD - IUCDs,55,50,341,466,412,2,56,4,4,4,74,74,1.96,5.38,0,1111,1111
KGHhQ5GLd4k,ri9reJBhA2Y,Bungoma County,HCD - IUCDs,4812,842,4926,4699,450,428,592,35,27,50,88,82,1.7,7.64,0,13572,13572
Tvf1zgVZ0K4,ri9reJBhA2Y,Busia County,HCD - IUCDs,95,26,78,130,11,4,11,6,5,5,59,44,2.14,5.37,0,175,175
MqnLxQBigG0,ri9reJBhA2Y,Elgeyo Marakwet County,HCD - IUCDs,787,631,548,433,25,0,1,50,53,53,153,151,1.85,3.4,151,0,151
PFu8alU2KWG,ri9reJBhA2Y,Embu County,HCD - IUCDs,140,43,54,1943,55,17,42,18,19,23,119,103,3.17,42.59,0,1885,1885
uyOrcHZBpW0,ri9reJBhA2Y,Garissa County,HCD - IUCDs,2116,15,34,36,40,18,38,14,11,12,41,42,3.17,116.97,0,2089,2089
nK0A12Q7MvS,ri9reJBhA2Y,Homa Bay County,HCD - IUCDs,4619,131,2334,425,368,3244,3169,220,11,29,99,102,2.07,12.68,0,12674,12674
bzOfj0iwfDH,ri9reJBhA2Y,Isiolo County,HCD - IUCDs,9,2,9,9,7,0,0,600,0,0,3,3,2.47,133.1,32,594,626
Hsk1YV8kHkT,ri9reJBhA2Y,Kajiado County,HCD - IUCDs,345,113,2875,285,150,256,353,63,35,52,259,209,3.14,15.37,0,2682,2682
BjC1xL40gHo,ri9reJBhA2Y,Kakamega County,HCD - IUCDs,2349,178,3394,618,477,226,288,453,425,449,700,702,2.59,9.59,0,4840,4840
ihZsJ8alvtb,ri9reJBhA2Y,Kericho County,HCD - IUCDs,22,12,58,60,8180,5,7,5,8,5,40,40,3.18,458.83,0,8156,8156
qKzosKQPl6G,ri9reJBhA2Y,Kiambu County,HCD - IUCDs,1003,9354,747,790,305,82,254,4432,86,256,833,805,2.87,11.87,0,12754,12754
Ulj33KBau7V,ri9reJBhA2Y,Kirinyaga County,HCD - IUCDs,300,104,227,229,86,24,42,423,26,29,176,169,2.15,2.07,0,295,295
sPkRcDvhGWA,ri9reJBhA2Y,Kisii County,HCD - IUCDs,327,203,220,3195,93,141,149,146,80,87,436,378,3.15,23.68,0,2990,2990
tAbBVBbueqD,ri9reJBhA2Y,Kisumu County,HCD - IUCDs,251,60,120,143,746,5,34,8,4,9,205,207,2.87,5.3,0,651,651
j8o6iO4Njsi,ri9reJBhA2Y,Kitui County,HCD - IUCDs,82,12,879,60,34,7,14,7,3,4,46,42,3.16,30.35,0,851,851
N7YETT3A9r1,ri9reJBhA2Y,Kwale County,HCD - IUCDs,90,5,58,173,146,61,170,486,5,3,11,10,2.79,5.28,0,419,419
xuFdFy6t9AH,ri9reJBhA2Y,Laikipia County,HCD - IUCDs,144,62,142,2928,617,149,411,226,176,212,133,129,3.12,44.95,0,3498,3498
NjWSbQTwys4,ri9reJBhA2Y,Lamu County,HCD - IUCDs,9,7,34,16,12,0,13,0,0,2,10,12,2.38,4.95,36,24,60
BoDytkJQ4Qi,ri9reJBhA2Y,Makueni County,HCD - IUCDs,13464,166,231,246,79,1,59,8,2,13,87,83,3.17,118.77,0,13375,13375
R6f9znhg37c,ri9reJBhA2Y,Mandera County,HCD - IUCDs,5,700,1,12,0,0,400,0,0,0,16,16,1.93,41.94,80,1080,1160
Eey8fT4Im3y,ri9reJBhA2Y,Marsabit County,HCD - IUCDs,3,0,1,301,0,0,0,0,0,0,19,20,1.78,11.89,133,290,423
Y52XNJ50hYb,ri9reJBhA2Y,Meru County,HCD - IUCDs,782,57,24630,499,36,19,31,30,26,24,102,122,3.17,663.26,0,25762,25762
fVra3Pwta0Q,ri9reJBhA2Y,Migori County,HCD - IUCDs,830,259,431,584,272,270,366,279,234,268,527,340,2.47,6.56,0,482,482
wsBsC6gjHvn,ri9reJBhA2Y,Mombasa County,HCD - IUCDs,432,3176,363,338,87,49,89,2559,65,93,312,303,2.4,8.94,0,5309,5309
ahwTMNAJvrL,ri9reJBhA2Y,Muranga County,HCD - IUCDs,189,87,159,150,90,33,74,589,30,40,136,120,2.98,6.6,0,488,488
jkG3zaihdSs,ri9reJBhA2Y,Nairobi County,HCD - IUCDs,1723,971,25313,2315,1305,840,621,7999,274,343,1542,1256,3.04,29.42,0,31074,31074
ob6SxuRcqU4,ri9reJBhA2Y,Nakuru County,HCD - IUCDs,1238,7747,958,1365,345,69,199,3188,95,92,904,868,2.91,7.54,0,6900,6900
t0J75eHKxz5,ri9reJBhA2Y,Nandi County,HCD - IUCDs,188,172,255,2065,12,3,6,3,3,2,56,60,3.14,44.19,0,2219,2219
uepLTG8wGWJ,ri9reJBhA2Y,Nyamira County,HCD - IUCDs,139,4574,372,6737,350,4101,5,1,0,2,552,512,2.17,11.7,372,14687,15059
mYZacFNIB3h,ri9reJBhA2Y,Nyandarua County,HCD - IUCDs,1294,84,204,343,70,9,55,3891,8,26,237,258,3.01,21.79,0,4926,4926
ptWVfaCIdVx,ri9reJBhA2Y,Nyeri County,HCD - IUCDs,883,1577,637,553,324,34,114,33,30,35,224,240,2.55,4.57,0,1295,1295
o36zCRjSd4G,ri9reJBhA2Y,Samburu County,HCD - IUCDs,7,7,9,11,6,0,4,0,1,2,4,3,1.77,2.02,10,0,10
u4t9H8XyU9P,ri9reJBhA2Y,Siaya County,HCD - IUCDs,168,599,645,621,563,4,69,59,53,60,120,120,1.48,5.53,0,2102,2102
QyGNX2DpR4h,ri9reJBhA2Y,Taita Taveta County,HCD - IUCDs,149,72,82,45,9,2,16,17,5,17,48,47,2.5,4.08,0,116,116
JsH2bnvNt2d,ri9reJBhA2Y,Tana River County,HCD - IUCDs,14,6,812,9,9,0,80,1,1,1,89,16,2.99,67.7,9,960,969
T4urHM47nlm,ri9reJBhA2Y,Tharaka Nithi County,HCD - IUCDs,704,56,94,86,60,3,42,33,1,10,136,163,3.06,10.37,0,642,642
mThvosEflAU,ri9reJBhA2Y,Trans Nzoia County,HCD - IUCDs,16463,39,16824,16534,101,1,100,2,17,17,108,106,1.69,135.09,0,49657,49657
kphDeKClFch,ri9reJBhA2Y,Turkana County,HCD - IUCDs,40,100,34,58,1,1,526,1,0,1,2,2,2.95,353.44,2,751,753
pZqQRRW7PHP,ri9reJBhA2Y,Uasin Gishu County,HCD - IUCDs,378,83,417,319,58,36,50,27,28,26,292,310,1.57,5.31,0,1124,1124
CeLsrJOH0g9,ri9reJBhA2Y,Wajir County,HCD - IUCDs,1502,0,38,97,40,0,17,0,0,33,33,41,2.47,164.47,156,1532,1688
XWALbfAPa6n,ri9reJBhA2Y,West Pokot County,HCD - IUCDs,107,79,231,11,8,0,12,158,7,8,49,46,2.25,3.28,46,183,229
KGHhQ5GLd4k,QZpWVTFZEE7,Bungoma County,HCD - Implants (1-Rod),844,287,528,545,138,54,105,70,51,91,409,332,2.2,2.83,0,607,607
Tvf1zgVZ0K4,QZpWVTFZEE7,Busia County,HCD - Implants (1-Rod),1270,542,621,893,243,75,183,102,65,76,388,329,2.31,3.15,0,950,950
MqnLxQBigG0,QZpWVTFZEE7,Elgeyo Marakwet County,HCD - Implants (1-Rod),435,221,341,282,109,23,69,24,20,27,81,66,2.06,4.71,0,320,320
PFu8alU2KWG,QZpWVTFZEE7,Embu County,HCD - Implants (1-Rod),296,114,136,244,92,36,74,42,27,26,141,128,2.14,2.63,0,200,200
nK0A12Q7MvS,QZpWVTFZEE7,Homa Bay County,HCD - Implants (1-Rod),1130,452,909,1014,575,24553,422,321,160,235,777,744,3.17,54.82,0,23940,23940
Hsk1YV8kHkT,QZpWVTFZEE7,Kajiado County,HCD - Implants (1-Rod),781,262,608,575,248,4834,151,83,78,78,227,187,3.13,19.75,0,4536,4536
